years,area_id,unit_name,race,officer_cnt,officer_pct,civilian_cnt,community_pct,allegations_pc_val,total_num_officers
2010,1544,18TH,Hispanic,66,0.1875,5806,0.04960654813270563,0.0030758452166334874,352
2010,1531,19TH,Black,51,0.1349206349206349,13305,0.06626458019981472,0.0016086778958692338,378
2010,1531,19TH,Hispanic,104,0.2751322751322751,20025,0.09973304911697031,0.0016086778958692338,378
2010,1531,19TH,White,202,0.5343915343915344,150551,0.7498082535634955,0.0016086778958692338,378
2010,1549,1ST,Black,87,0.2744479495268139,13452,0.21426864815788216,0.007454484637071725,317
2010,1549,1ST,Native American/Alaskan Native,1,0.0031545741324921135,95,0.0015131966677816536,0.007454484637071725,317
2010,1549,1ST,Hispanic,66,0.2082018927444795,3766,0.05998630158806008,0.007454484637071725,317
2010,1549,1ST,White,158,0.49842271293375395,32952,0.5248721747025374,0.007454484637071725,317
2010,1528,20TH,Hispanic,67,0.23674911660777384,16519,0.1809726223994566,0.001161274772948871,283
2010,1528,20TH,Native American/Alaskan Native,4,0.014134275618374558,223,0.0024430591921471533,0.001161274772948871,283
2010,1528,20TH,Black,20,0.0706713780918728,9909,0.10855728042594683,0.001161274772948871,283
2010,1528,20TH,White,171,0.6042402826855123,49420,0.5414169743314453,0.001161274772948871,283
2010,1539,22ND,White,182,0.6086956521739131,34863,0.3419919365122963,0.0031096418516592932,299
2010,1539,22ND,Native American/Alaskan Native,2,0.006688963210702341,112,0.0010986747236146398,0.0031096418516592932,299
2010,1539,22ND,Hispanic,34,0.11371237458193979,3318,0.0325482386870837,0.0031096418516592932,299
2010,1539,22ND,Black,81,0.2709030100334448,62094,0.6091170382868522,0.0031096418516592932,299
2010,1541,24TH,White,186,0.6714801444043321,60488,0.4288773238418015,0.001843474808207717,277
2010,1541,24TH,Native American/Alaskan Native,3,0.010830324909747292,351,0.0024886909910804183,0.001843474808207717,277
2010,1541,24TH,Hispanic,51,0.18411552346570398,29746,0.21090769863441058,0.001843474808207717,277
2010,1541,24TH,Black,15,0.05415162454873646,25322,0.17954026574398388,0.001843474808207717,277
2010,1532,25TH,Hispanic,139,0.3475,133005,0.6637274129077653,0.0018164488425128874,400
2010,1532,25TH,Native American/Alaskan Native,1,0.0025,214,0.0010679122315872468,0.0018164488425128874,400
2010,1532,25TH,White,225,0.5625,29371,0.14656845866331322,0.0018164488425128874,400
2010,1532,25TH,Black,21,0.0525,33033,0.1648427324580445,0.0018164488425128874,400
2010,1551,2ND,Hispanic,44,0.12256267409470752,3242,0.033969341673739245,0.0041702029568624985,359
2010,1551,2ND,Native American/Alaskan Native,1,0.002785515320334262,138,0.0014459497689623738,0.0041702029568624985,359
2010,1551,2ND,Black,241,0.6713091922005571,65993,0.6914678485734344,0.0041702029568624985,359
2010,1551,2ND,White,64,0.17827298050139276,17747,0.18595123586793658,0.0041702029568624985,359
2010,1535,3RD,Native American/Alaskan Native,1,0.002793296089385475,169,0.0022462949425134577,0.006154050641323852,358
2010,1535,3RD,White,95,0.26536312849162014,1472,0.019565361866152722,0.006154050641323852,358
2010,1535,3RD,Hispanic,63,0.17597765363128492,1123,0.014926563434571676,0.006154050641323852,358
2010,1535,3RD,Black,196,0.547486033519553,71010,0.9438426264371635,0.006154050641323852,358
2010,1536,4TH,White,180,0.5027932960893855,9925,0.08031559781509205,0.003649605502731135,358
2010,1536,4TH,Black,88,0.24581005586592178,76399,0.6182399352619866,0.003649605502731135,358
2010,1536,4TH,Hispanic,85,0.23743016759776536,35381,0.286311956301841,0.003649605502731135,358
2010,1540,5TH,Black,204,0.555858310626703,70064,0.9417710629603742,0.005618581644174418,367
2010,1540,5TH,Hispanic,34,0.09264305177111716,2524,0.03392655519113931,0.005618581644174418,367
2010,1540,5TH,White,124,0.33787465940054495,843,0.011331254368514437,0.005618581644174418,367
2010,1537,6TH,Black,193,0.4684466019417476,88525,0.9745049041732258,0.006164617298356469,412
2010,1537,6TH,White,121,0.2936893203883495,312,0.0034345724947986043,0.006164617298356469,412
2010,1537,6TH,Hispanic,90,0.21844660194174756,914,0.010061536090531809,0.006164617298356469,412
2010,1534,7TH,Black,132,0.2926829268292683,68787,0.9678631227927003,0.006993006993006993,451
2010,1534,7TH,White,209,0.4634146341463415,262,0.003686454390679743,0.006993006993006993,451
2010,1534,7TH,Native American/Alaskan Native,1,0.0022172949002217295,136,0.0019135793783681108,0.006993006993006993,451
2010,1534,7TH,Hispanic,98,0.21729490022172948,1167,0.01642019951879107,0.006993006993006993,451
2010,1543,8TH,Native American/Alaskan Native,1,0.002544529262086514,247,0.0009984921555707374,0.002085918835119435,393
2010,1543,8TH,Hispanic,110,0.27989821882951654,139854,0.5653567689278943,0.002085918835119435,393
2010,1543,8TH,White,251,0.638676844783715,51491,0.20815125337041634,0.002085918835119435,393
2010,1543,8TH,Black,23,0.058524173027989825,52219,0.21109417761841429,0.002085918835119435,393
2010,1550,9TH,White,213,0.56951871657754,24307,0.14713591322086428,0.002451559009933354,374
2010,1550,9TH,Black,32,0.0855614973262032,19044,0.11527775255597726,0.002451559009933354,374
2010,1550,9TH,Hispanic,115,0.3074866310160428,94610,0.572696291184678,0.002451559009933354,374
2011,1548,10TH,Black,22,0.06111111111111111,39440,0.33397407128280254,0.002472627505440627,360
2011,1548,10TH,White,127,0.3527777777777778,4300,0.036411980388338004,0.002472627505440627,360
2011,1548,10TH,Hispanic,202,0.5611111111111111,73441,0.6218912213255654,0.002472627505440627,360
2011,1546,11TH,Black,64,0.16452442159383032,59671,0.846709424752391,0.007790106989811845,389
2011,1546,11TH,Hispanic,98,0.2519280205655527,8118,0.11519141811164402,0.007790106989811845,389
2011,1546,11TH,Native American/Alaskan Native,1,0.002570694087403599,73,0.0010358430059312655,0.007790106989811845,389
2011,1546,11TH,White,215,0.5526992287917738,1664,0.023611544683145556,0.007790106989811845,389
2011,1545,12TH,White,147,0.4349112426035503,51775,0.4049065840821466,0.0020489719947759033,338
2011,1545,12TH,Hispanic,141,0.4171597633136095,42329,0.33103410521705806,0.0020489719947759033,338
2011,1545,12TH,Black,42,0.1242603550295858,23039,0.18017658697573297,0.0020489719947759033,338
2011,1533,14TH,Black,21,0.07720588235294118,8027,0.06817679933411473,0.0018940359102413834,272
2011,1533,14TH,Native American/Alaskan Native,3,0.011029411764705883,189,0.0016052591346888854,0.0018940359102413834,272
2011,1533,14TH,White,111,0.40808823529411764,49809,0.4230494827498344,0.0018940359102413834,272
2011,1533,14TH,Hispanic,123,0.4522058823529412,54039,0.4589767110023951,0.0018940359102413834,272
2011,1547,15TH,Hispanic,85,0.25297619047619047,2265,0.03809411685559554,0.004961485418278449,336
2011,1547,15TH,White,180,0.5357142857142857,959,0.016129032258064516,0.004961485418278449,336
2011,1547,15TH,Black,56,0.16666666666666666,55468,0.9328938073934542,0.004961485418278449,336
2011,1542,16TH,White,241,0.7461300309597523,138045,0.692017324871417,0.0010376876109122629,323
2011,1542,16TH,Hispanic,55,0.17027863777089783,45438,0.22777995007068308,0.0010376876109122629,323
2011,1542,16TH,Black,11,0.034055727554179564,2022,0.010136252894998045,0.0010376876109122629,323
2011,1527,17TH,Native American/Alaskan Native,1,0.0036900369003690036,321,0.0022276815456362424,0.0010132134132800356,271
2011,1527,17TH,Hispanic,87,0.3210332103321033,62232,0.43187874750166555,0.0010132134132800356,271
2011,1527,17TH,White,151,0.5571955719557196,55743,0.3868462691538974,0.0010132134132800356,271
2011,1527,17TH,Black,15,0.055350553505535055,4782,0.033186209193870754,0.0010132134132800356,271
2011,1544,18TH,Native American/Alaskan Native,1,0.002840909090909091,108,0.0009227535649900462,0.0024692201877974385,352
2011,1544,18TH,Black,63,0.17897727272727273,10681,0.09125861877461744,0.0024692201877974385,352
2011,1544,18TH,White,208,0.5909090909090909,88418,0.7554446732341658,0.0024692201877974385,352
2011,1544,18TH,Hispanic,66,0.1875,5806,0.04960654813270563,0.0024692201877974385,352
2011,1531,19TH,Hispanic,104,0.2751322751322751,20025,0.09973304911697031,0.001538951918958493,378
2011,1531,19TH,Black,51,0.1349206349206349,13305,0.06626458019981472,0.001538951918958493,378
2011,1531,19TH,White,202,0.5343915343915344,150551,0.7498082535634955,0.001538951918958493,378
2011,1549,1ST,Hispanic,66,0.2082018927444795,3766,0.05998630158806008,0.006801420812029117,317
2011,1549,1ST,Native American/Alaskan Native,1,0.0031545741324921135,95,0.0015131966677816536,0.006801420812029117,317
2011,1549,1ST,White,158,0.49842271293375395,32952,0.5248721747025374,0.006801420812029117,317
2011,1549,1ST,Black,87,0.2744479495268139,13452,0.21426864815788216,0.006801420812029117,317
2011,1528,20TH,Black,20,0.0706713780918728,9909,0.10855728042594683,0.0013146506863572125,283
2011,1528,20TH,Native American/Alaskan Native,4,0.014134275618374558,223,0.0024430591921471533,0.0013146506863572125,283
2011,1528,20TH,White,171,0.6042402826855123,49420,0.5414169743314453,0.0013146506863572125,283
2011,1528,20TH,Hispanic,67,0.23674911660777384,16519,0.1809726223994566,0.0013146506863572125,283
2011,1539,22ND,Native American/Alaskan Native,2,0.006688963210702341,112,0.0010986747236146398,0.0026485908515710066,299
2011,1539,22ND,Black,81,0.2709030100334448,62094,0.6091170382868522,0.0026485908515710066,299
2011,1539,22ND,White,182,0.6086956521739131,34863,0.3419919365122963,0.0026485908515710066,299
2011,1539,22ND,Hispanic,34,0.11371237458193979,3318,0.0325482386870837,0.0026485908515710066,299
2011,1541,24TH,Native American/Alaskan Native,3,0.010830324909747292,351,0.0024886909910804183,0.0016662176151108212,277
2011,1541,24TH,Hispanic,51,0.18411552346570398,29746,0.21090769863441058,0.0016662176151108212,277
2011,1541,24TH,White,186,0.6714801444043321,60488,0.4288773238418015,0.0016662176151108212,277
2011,1541,24TH,Black,15,0.05415162454873646,25322,0.17954026574398388,0.0016662176151108212,277
2011,1532,25TH,White,225,0.5625,29371,0.14656845866331322,0.0016916927406919473,400
2011,1532,25TH,Native American/Alaskan Native,1,0.0025,214,0.0010679122315872468,0.0016916927406919473,400
2011,1532,25TH,Black,21,0.0525,33033,0.1648427324580445,0.0016916927406919473,400
2011,1532,25TH,Hispanic,139,0.3475,133005,0.6637274129077653,0.0016916927406919473,400
2011,1551,2ND,Hispanic,44,0.12256267409470752,3242,0.033969341673739245,0.004337849306887122,359
2011,1551,2ND,Black,241,0.6713091922005571,65993,0.6914678485734344,0.004337849306887122,359
2011,1551,2ND,Native American/Alaskan Native,1,0.002785515320334262,138,0.0014459497689623738,0.004337849306887122,359
2011,1551,2ND,White,64,0.17827298050139276,17747,0.18595123586793658,0.004337849306887122,359
2011,1535,3RD,Native American/Alaskan Native,1,0.002793296089385475,169,0.0022462949425134577,0.005436299594603575,358
2011,1535,3RD,Black,196,0.547486033519553,71010,0.9438426264371635,0.005436299594603575,358
2011,1535,3RD,Hispanic,63,0.17597765363128492,1123,0.014926563434571676,0.005436299594603575,358
2011,1535,3RD,White,95,0.26536312849162014,1472,0.019565361866152722,0.005436299594603575,358
2011,1536,4TH,Hispanic,85,0.23743016759776536,35381,0.286311956301841,0.00313979364758244,358
2011,1536,4TH,White,180,0.5027932960893855,9925,0.08031559781509205,0.00313979364758244,358
2011,1536,4TH,Black,88,0.24581005586592178,76399,0.6182399352619866,0.00313979364758244,358
2011,1540,5TH,Black,204,0.555858310626703,70064,0.9417710629603742,0.005000268831657616,367
2011,1540,5TH,Hispanic,34,0.09264305177111716,2524,0.03392655519113931,0.005000268831657616,367
2011,1540,5TH,White,124,0.33787465940054495,843,0.011331254368514437,0.005000268831657616,367
2011,1537,6TH,Hispanic,90,0.21844660194174756,914,0.010061536090531809,0.005669246265452824,412
2011,1537,6TH,Black,193,0.4684466019417476,88525,0.9745049041732258,0.005669246265452824,412
2011,1537,6TH,White,121,0.2936893203883495,312,0.0034345724947986043,0.005669246265452824,412
2011,1534,7TH,Hispanic,98,0.21729490022172948,1167,0.01642019951879107,0.006556823458231909,451
2011,1534,7TH,White,209,0.4634146341463415,262,0.003686454390679743,0.006556823458231909,451
2011,1534,7TH,Native American/Alaskan Native,1,0.0022172949002217295,136,0.0019135793783681108,0.006556823458231909,451
2011,1534,7TH,Black,132,0.2926829268292683,68787,0.9678631227927003,0.006556823458231909,451
2011,1543,8TH,Hispanic,110,0.27989821882951654,139854,0.5653567689278943,0.0018554975684492649,393
2011,1543,8TH,White,251,0.638676844783715,51491,0.20815125337041634,0.0018554975684492649,393
2011,1543,8TH,Black,23,0.058524173027989825,52219,0.21109417761841429,0.0018554975684492649,393
2011,1543,8TH,Native American/Alaskan Native,1,0.002544529262086514,247,0.0009984921555707374,0.0018554975684492649,393
2011,1550,9TH,Black,32,0.0855614973262032,19044,0.11527775255597726,0.0022033764928783726,374
2011,1550,9TH,White,213,0.56951871657754,24307,0.14713591322086428,0.0022033764928783726,374
2011,1550,9TH,Hispanic,115,0.3074866310160428,94610,0.572696291184678,0.0022033764928783726,374
2012,1548,10TH,White,127,0.3527777777777778,4300,0.036411980388338004,0.002260929945043313,360
2012,1548,10TH,Black,22,0.06111111111111111,39440,0.33397407128280254,0.002260929945043313,360
2012,1548,10TH,Hispanic,202,0.5611111111111111,73441,0.6218912213255654,0.002260929945043313,360
